ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
269;0.000000;0.030000;508.200000;1.800000;1;0.820000;gr_sensing_SM_con03,
273;0.000000;0.030000;508.170000;1.800000;1;0.820000;gr_sensing_SM_con03,
276;0.000000;0.030000;508.140000;1.800000;1;0.820000;gr_sensing_SM_con03,
280;0.000000;0.000000;508.140000;0.000000;0;0.000000;
283;0.000000;0.000000;508.140000;0.000000;0;0.000000;
286;0.000000;0.000000;508.140000;0.000000;0;0.000000;
290;0.000000;0.000000;508.140000;0.000000;0;0.000000;
293;0.000000;0.000000;508.140000;0.000000;0;0.000000;
296;0.001000;0.000000;508.141000;0.000000;0;0.000000;
299;0.004000;0.000000;508.145000;0.000000;0;0.000000;
302;0.007000;0.000000;508.152000;0.000000;0;0.000000;
306;0.011000;0.000000;508.163000;0.000000;0;0.000000;
309;0.014000;0.000000;508.177000;0.000000;0;0.000000;
313;0.018000;0.000000;508.195000;0.000000;0;0.000000;
316;0.021000;0.000000;508.216000;0.000000;0;0.000000;
320;0.025000;0.000000;508.241000;0.000000;0;0.000000;
323;0.028000;0.000000;508.269000;0.000000;0;0.000000;
326;0.031000;0.000000;508.300000;1.800000;1;0.782320;gr_sensing_SM_con03,
330;0.035000;0.030000;508.305000;1.800000;1;0.782320;gr_sensing_SM_con03,
333;0.038000;0.030000;508.313000;1.800000;1;0.782320;gr_sensing_SM_con03,
337;0.042000;0.030000;508.325000;1.800000;1;0.782320;gr_sensing_SM_con03,
340;0.045000;0.030000;508.340000;1.800000;1;0.782320;gr_sensing_SM_con03,
344;0.049000;0.030000;508.359000;1.800000;1;0.782320;gr_sensing_SM_con03,
347;0.052000;0.030000;508.381000;1.800000;1;0.782320;gr_sensing_SM_con03,
350;0.055000;0.030000;508.406000;1.800000;1;0.782320;gr_sensing_SM_con03,
354;0.059000;0.030000;508.435000;1.800000;1;0.782320;gr_sensing_SM_con03,
356;0.064663;0.030000;508.469663;1.800000;1;0.782320;gr_sensing_SM_con03,
360;0.071643;0.030000;508.511306;1.800000;1;0.782320;gr_sensing_SM_con03,
363;0.071230;0.030000;508.552535;1.800000;1;0.782320;gr_sensing_SM_con03,
367;0.073240;0.030000;508.595775;1.800000;1;0.782320;gr_sensing_SM_con03,
370;0.081477;0.030000;508.647252;1.800000;1;0.782320;gr_sensing_SM_con03,
373;0.082245;0.030000;508.699496;1.800000;1;0.782320;gr_sensing_SM_con03,
377;0.086361;0.030000;508.755857;1.800000;1;0.782320;gr_sensing_SM_con03,
380;0.088965;0.030000;508.814823;1.800000;1;0.782320;gr_sensing_SM_con03,
384;0.091935;0.030000;508.876758;1.800000;1;0.782320;gr_sensing_SM_con03,
387;0.098846;0.030000;508.945603;1.800000;1;0.782320;gr_sensing_SM_con03,
390;0.099349;0.030000;509.014952;1.800000;1;0.782320;gr_sensing_SM_con03,
394;0.101963;0.030000;509.086916;1.800000;1;0.782320;gr_sensing_SM_con03,
397;0.107811;0.030000;509.164727;1.800000;1;0.782320;gr_sensing_SM_con03,
401;0.107366;0.030000;509.242092;1.800000;1;0.782320;gr_sensing_SM_con03,
404;0.112434;0.030000;509.324527;1.800000;1;0.782320;gr_sensing_SM_con03,
408;0.115535;0.030000;509.410062;1.800000;1;0.782320;gr_sensing_SM_con03,
411;0.119003;0.030000;509.499065;1.800000;1;0.782320;gr_sensing_SM_con03,
414;0.122456;0.030000;509.591521;1.800000;1;0.782320;gr_sensing_SM_con03,
417;0.136108;0.030000;509.697629;1.800000;1;0.782320;gr_sensing_SM_con03,
420;0.134994;0.030000;509.802623;1.800000;1;0.782320;gr_sensing_SM_con03,
424;0.148541;0.030000;509.921164;1.800000;1;0.782320;gr_sensing_SM_con03,
427;0.155599;0.030000;510.046764;1.800000;1;0.782320;gr_sensing_SM_con03,
431;0.157795;0.030000;510.174558;1.800000;1;0.782320;gr_sensing_SM_con03,
434;0.172621;0.030000;510.317179;1.800000;1;0.782320;gr_sensing_SM_con03,
438;0.180793;0.030000;510.467972;1.800000;1;0.782320;gr_sensing_SM_con03,
441;0.184174;0.030000;510.622147;1.800000;1;0.782320;gr_sensing_SM_con03,
445;0.189838;0.030000;510.781985;1.800000;1;0.782320;gr_sensing_SM_con03,
448;0.194279;0.030000;510.946264;1.800000;1;0.782320;gr_sensing_SM_con03,
451;0.199174;0.030000;511.115438;1.800000;1;0.782320;gr_sensing_SM_con03,
455;0.213398;0.030000;511.298836;1.800000;1;0.782320;gr_sensing_SM_con03,
458;0.212475;0.030000;511.481310;1.800000;1;0.782320;gr_sensing_SM_con03,
462;0.221473;0.030000;511.672784;1.800000;1;0.782320;gr_sensing_SM_con03,
465;0.234504;0.030000;511.877288;1.800000;1;0.782320;gr_sensing_SM_con03,
469;0.238410;0.030000;512.085698;1.800000;1;0.782320;gr_sensing_SM_con03,
472;0.248331;0.030000;512.304029;1.800000;1;0.782320;gr_sensing_SM_con03,
475;0.257898;0.030000;512.531928;1.800000;1;0.782320;gr_sensing_SM_con03,
478;0.273714;0.030000;512.775642;1.800000;1;0.782320;gr_sensing_SM_con03,
481;0.271923;0.030000;513.017565;1.800000;1;0.782320;gr_sensing_SM_con03,
485;0.270055;0.030000;513.257620;1.800000;1;0.782320;gr_sensing_SM_con03,
488;0.274555;0.030000;513.502175;1.800000;1;0.782320;gr_sensing_SM_con03,
492;0.294450;0.030000;513.766625;1.800000;1;0.782320;gr_sensing_SM_con03,
495;0.306040;0.030000;514.042665;1.800000;1;0.782320;gr_sensing_SM_con03,
499;0.303675;0.030000;514.316341;1.800000;1;0.782320;gr_sensing_SM_con03,
502;0.315047;0.030000;514.601387;1.800000;1;0.782320;gr_sensing_SM_con03,
506;0.310577;0.030000;514.881964;1.800000;1;0.782320;gr_sensing_SM_con03,
509;0.326328;0.030000;515.178293;1.800000;1;0.782320;gr_sensing_SM_con03,
513;0.340946;0.030000;515.489238;1.800000;1;0.782320;gr_sensing_SM_con03,
516;0.348149;0.030000;515.807387;1.800000;1;0.782320;gr_sensing_SM_con03,
519;0.351559;0.030000;516.128946;1.800000;1;0.782320;gr_sensing_SM_con03,
523;0.364212;0.030000;516.463158;1.800000;1;0.782320;gr_sensing_SM_con03,
526;0.361640;0.030000;516.794798;1.800000;1;0.782320;gr_sensing_SM_con03,
530;0.371813;0.030000;517.136611;1.800000;1;0.782320;gr_sensing_SM_con03,
532;0.385669;0.030000;517.492281;1.800000;1;0.782320;gr_sensing_SM_con03,
536;0.398100;0.000000;517.890380;0.000000;0;0.000000;
539;0.373552;0.000000;518.263932;0.000000;0;0.000000;
542;0.396612;0.000000;518.660544;0.000000;0;0.000000;
546;0.392926;0.000000;519.053470;1.794000;1;0.900528;gr_sensing_SM_con03,
549;0.381968;0.030000;519.405439;1.794000;1;0.900528;gr_sensing_SM_con03,
553;0.375739;0.030000;519.751177;1.794000;1;0.900528;gr_sensing_SM_con03,
556;0.387801;0.030000;520.108978;1.794000;1;0.900528;gr_sensing_SM_con03,
560;0.384784;0.030000;520.463762;1.794000;1;0.900528;gr_sensing_SM_con03,
563;0.380660;0.030000;520.814422;1.794000;1;0.900528;gr_sensing_SM_con03,
