Ticks;Time;Duration;State;Cycles;Updates;Expected;Reward
0;0:0;0;0;0;0;50;1.000000
0;0:0;0;0;0;0;50;0.000000
43;0:43;43;0;11;60;50;1.000000
103;1:44;43;0;11;60;50;1.000000
152;2:34;42;0;11;55;50;1.000000
198;3:21;42;0;11;45;50;1.200000
251;4:15;42;0;11;45;50;1.200000
318;5:23;41;0;11;40;50;1.200000
375;6:21;42;0;11;45;50;1.200000
423;7:10;41;0;11;45;50;1.200000
473;8:1;42;0;11;45;50;1.200000
520;8:48;43;0;11;55;50;1.000000
566;9:35;42;0;11;45;50;1.100000
627;10:37;42;0;11;55;50;1.000000
684;11:35;42;0;11;55;50;1.000000
730;12:22;42;0;11;60;50;1.000000
780;13:13;42;0;11;55;50;1.000000
826;14:0;42;0;11;55;50;1.000000
884;14:58;44;0;11;55;50;1.000000
937;15:52;43;0;11;60;50;1.000000
981;16:37;40;0;11;60;50;1.000000
1029;17:26;41;0;11;60;50;1.000000
1082;18:20;42;0;11;60;50;1.000000
1135;19:14;43;0;11;60;50;1.000000
1180;20:0;42;0;11;55;50;1.000000
1312;22:14;42;0;11;55;50;1.000000
1490;1:15;42;0;11;55;50;1.000000
1566;2:32;43;0;11;55;50;1.000000
1630;3:37;42;0;11;55;50;1.000000
1687;4:35;43;0;11;50;50;1.000000
1836;7:7;42;0;11;40;50;1.200000
1930;8:42;43;0;11;40;50;1.200000
2015;10:9;43;0;11;55;50;1.000000
2059;10:53;41;0;11;55;50;1.000000
2103;11:38;41;0;11;55;50;1.000000
2153;12:29;43;0;11;55;50;1.000000
2210;13:27;43;0;11;55;50;1.000000
2256;14:14;42;0;11;55;50;1.000000
2306;15:5;42;0;11;55;50;1.000000
2363;16:3;42;0;11;55;50;1.000000
2414;16:54;43;0;11;55;50;1.000000
2459;17:40;42;0;11;55;50;1.000000
2505;18:27;42;0;11;55;50;1.000000
2555;19:18;43;0;11;55;50;1.000000
2601;20:5;42;0;11;55;50;1.000000
2706;21:51;44;0;11;55;50;1.000000
2806;23:33;43;0;11;55;50;1.000000
2874;0:42;42;0;11;55;50;1.000000
3077;4:9;43;0;11;55;50;1.000000
3223;6:37;42;0;11;55;50;1.000000
3288;7:43;43;0;11;45;50;1.200000
3352;8:48;43;0;11;55;50;1.000000
3402;9:39;43;0;11;55;50;1.000000
3448;10:26;42;0;11;55;50;1.000000
3495;11:14;43;0;11;55;50;1.000000
3544;12:4;42;0;11;55;50;1.000000
3598;12:58;43;0;11;55;50;1.000000
3644;13:45;43;0;11;55;50;1.000000
3697;14:39;42;0;11;55;50;1.000000
3747;15:30;42;0;11;55;50;1.000000
3804;16:28;42;0;11;55;50;1.000000
3861;17:26;42;0;11;55;50;1.000000
3911;18:17;42;0;11;55;50;1.000000
3969;19:16;43;0;11;55;50;1.000000
4015;20:3;43;0;11;55;50;1.000000
4062;20:50;44;0;11;55;50;1.000000
4123;21:52;44;0;11;55;50;1.000000
4241;23:52;43;0;11;55;50;1.000000
4308;1:1;42;0;11;55;50;1.000000
4363;1:56;44;0;11;55;50;1.000000
4413;2:47;44;0;11;55;50;1.000000
4516;4:32;43;0;11;40;50;1.200000
4661;7:0;42;0;11;40;50;1.200000
4726;8:6;43;0;11;40;50;1.200000
4773;8:53;43;0;11;55;50;1.000000
4827;9:48;44;0;11;55;50;1.000000
4873;10:35;43;0;11;60;50;1.000000
4937;11:40;43;0;11;50;50;1.000000
4983;12:27;43;0;11;55;50;1.000000
5051;13:36;43;0;11;60;50;1.000000
5097;14:23;42;0;11;60;50;1.000000
5162;15:29;43;0;11;60;50;1.000000
5212;16:20;43;0;11;60;50;1.000000
5255;17:4;39;0;11;60;50;1.000000
5305;17:54;43;0;11;55;50;1.000000
5362;18:52;43;0;11;60;50;1.000000
5416;19:47;44;0;11;60;50;1.000000
5612;23:7;43;0;11;55;50;1.000000
5676;0:12;42;0;11;55;50;1.000000
5729;1:6;42;0;11;55;50;1.000000
5801;2:19;42;0;11;55;50;1.000000
5851;3:10;42;0;11;55;50;1.000000
5898;3:57;43;0;11;40;50;1.200000
5959;4:59;43;0;11;45;50;1.100000
6023;6:5;43;0;11;40;50;1.200000
6127;7:50;43;0;11;40;50;1.200000
6177;8:41;43;0;11;40;50;1.200000
6234;9:39;42;0;11;55;50;1.000000
6301;10:47;42;0;11;55;50;1.000000
6363;11:50;42;0;11;55;50;1.000000
6409;12:37;43;0;11;55;50;1.000000
6459;13:28;43;0;11;55;50;1.000000
6509;14:19;43;0;11;55;50;1.000000
6573;15:24;42;0;11;55;50;1.000000
6620;16:12;43;0;11;55;50;1.000000
6673;17:6;42;0;11;55;50;1.000000
6720;17:53;43;0;11;55;50;1.000000
6766;18:40;43;0;11;55;50;1.000000
6819;19:34;42;0;11;55;50;1.000000
6865;20:21;42;0;11;55;50;1.000000
6929;21:26;42;0;11;55;50;1.000000
7005;22:43;43;0;11;55;50;1.000000
7062;23:41;43;0;11;55;50;1.000000
7144;1:5;43;0;11;55;50;1.000000
7226;2:28;42;0;11;55;50;1.000000
7280;3:23;43;0;11;55;50;1.000000
7334;4:18;43;0;11;40;50;1.200000
7385;5:10;40;0;11;40;50;1.200000
7437;6:3;42;0;11;40;50;1.200000
7516;7:23;43;0;11;40;50;1.200000
7598;8:46;43;0;11;55;50;1.000000
7652;9:41;43;0;11;55;50;1.000000
7701;10:31;43;0;11;55;50;1.000000
7762;11:33;43;0;11;55;50;1.000000
7815;12:27;43;0;11;55;50;1.000000
7879;13:32;42;0;11;55;50;1.000000
7937;14:31;43;0;11;55;50;1.000000
7986;15:21;42;0;11;55;50;1.000000
8033;16:9;43;0;11;55;50;1.000000
8090;17:7;43;0;11;55;50;1.000000
8137;17:54;44;0;11;55;50;1.000000
8191;18:49;44;0;11;55;50;1.000000
8265;20:5;43;0;11;55;50;1.000000
8326;21:7;43;0;11;55;50;1.000000
8377;21:58;44;0;11;55;50;1.000000
8423;22:45;44;0;11;55;50;1.000000
8545;0:49;44;0;11;55;50;1.000000
8606;1:51;45;0;11;55;50;1.000000
8651;2:37;42;0;11;55;50;1.000000
8769;4:37;43;0;11;40;50;1.200000
8830;5:39;43;0;11;40;50;1.200000
8918;7:9;42;0;11;40;50;1.200000
8986;8:18;42;0;11;45;50;1.100000
9033;9:6;43;0;11;40;50;1.200000
9083;9:56;43;0;11;55;50;1.000000
9130;10:44;44;0;11;55;50;1.000000
9180;11:35;43;0;11;55;50;1.000000
9230;12:26;43;0;11;55;50;1.000000
9280;13:17;43;0;11;55;50;1.000000
9325;14:3;42;0;11;55;50;1.000000
9380;14:58;44;0;11;55;50;1.000000
9426;15:45;44;0;11;55;50;1.000000
9475;16:35;42;0;11;55;50;1.000000
9522;17:23;40;0;11;55;50;1.000000
9575;18:17;43;0;11;55;50;1.000000
9628;19:11;43;0;11;55;50;1.000000
9685;20:9;42;0;11;55;50;1.000000
9757;21:22;43;0;11;55;50;1.000000
9807;22:13;43;0;11;55;50;1.000000
9904;23:51;43;0;11;55;50;1.000000
9967;0:55;42;0;11;55;50;1.000000
10088;2:58;43;0;11;55;50;1.000000
10159;4:11;43;0;11;40;50;1.200000
10216;5:9;43;0;11;40;50;1.200000
10303;6:37;43;0;11;40;50;1.200000
10377;7:52;43;0;11;40;50;1.200000
10422;8:38;42;0;11;55;50;1.000000
10486;9:43;43;0;11;55;50;1.000000
10535;10:33;42;0;11;55;50;1.000000
10617;11:56;41;0;11;55;50;1.000000
10669;12:49;42;0;11;55;50;1.000000
10714;13:35;42;0;11;55;50;1.000000
10759;14:21;41;0;11;55;50;1.000000
10808;15:11;42;0;11;55;50;1.000000
10855;15:58;43;0;11;55;50;1.000000
10904;16:48;43;0;11;55;50;1.000000
10956;17:41;41;0;11;55;50;1.000000
11002;18:28;42;0;11;55;50;1.000000
11051;19:18;42;0;11;55;50;1.000000
11105;20:13;43;0;11;55;50;1.000000
11198;21:47;44;0;11;55;50;1.000000
11279;23:10;43;0;11;55;50;1.000000
11326;23:57;44;0;11;55;50;1.000000
11375;0:47;43;0;11;55;50;1.000000
11500;2:54;44;0;11;55;50;1.000000
11609;4:45;43;0;11;50;50;1.000000
11662;5:39;40;0;11;40;50;1.200000
11719;6:37;43;0;11;40;50;1.200000
11794;7:53;43;0;11;40;50;1.200000
11843;8:43;43;0;11;40;50;1.200000
11896;9:37;42;0;11;55;50;1.000000
11943;10:25;43;0;11;55;50;1.000000
11992;11:15;42;0;11;55;50;1.000000
12038;12:2;42;0;11;55;50;1.000000
12098;13:3;42;0;11;55;50;1.000000
12152;13:57;43;0;11;55;50;1.000000
12209;14:55;44;0;11;55;50;1.000000
12276;16:4;43;0;11;55;50;1.000000
12323;16:51;44;0;11;55;50;1.000000
12380;17:49;43;0;11;55;50;1.000000
12430;18:40;42;0;11;55;50;1.000000
12487;19:38;42;0;11;55;50;1.000000
12534;20:26;43;0;11;55;50;1.000000
12598;21:31;43;0;11;55;50;1.000000
12692;23:7;40;0;11;55;50;1.000000
12795;0:51;44;0;11;55;50;1.000000
12841;1:38;42;0;11;55;50;1.000000
12959;3:38;42;0;11;55;50;1.000000
13006;4:26;43;0;11;55;50;1.000000
13127;6:29;43;0;11;40;50;1.200000
13180;7:23;42;0;11;40;50;1.200000
13262;8:46;43;0;11;45;50;1.100000
13316;9:41;43;0;11;55;50;1.000000
13365;10:31;42;0;11;55;50;1.000000
13423;11:30;43;0;11;55;50;1.000000
13469;12:17;43;0;11;55;50;1.000000
13515;13:4;43;0;11;55;50;1.000000
13579;14:9;42;0;11;55;50;1.000000
13644;15:15;43;0;11;55;50;1.000000
