ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
248;0.000000;0.030000;502.020000;1.800000;1;0.158879;gr_sensing_SM_con03,
251;0.000000;0.030000;501.990000;1.800000;1;0.158879;gr_sensing_SM_con03,
255;0.000000;0.030000;501.960000;1.800000;1;0.158879;gr_sensing_SM_con03,
259;0.000000;0.030000;501.930000;1.800000;1;0.158879;gr_sensing_SM_con03,
262;0.000000;0.030000;501.900000;1.800000;1;0.158879;gr_sensing_SM_con03,
266;0.000000;0.030000;501.870000;1.800000;1;0.158879;gr_sensing_SM_con03,
270;0.000000;0.030000;501.840000;1.800000;1;0.158879;gr_sensing_SM_con03,
273;0.000000;0.030000;501.810000;1.800000;1;0.158879;gr_sensing_SM_con03,
277;0.000000;0.030000;501.780000;1.800000;1;0.158879;gr_sensing_SM_con03,
281;0.000000;0.030000;501.750000;1.800000;1;0.158879;gr_sensing_SM_con03,
284;0.000000;0.030000;501.720000;1.800000;1;0.158879;gr_sensing_SM_con03,
288;0.000000;0.030000;501.690000;1.800000;1;0.158879;gr_sensing_SM_con03,
291;0.000000;0.030000;501.660000;1.800000;1;0.158879;gr_sensing_SM_con03,
295;0.000000;0.030000;501.630000;1.800000;1;0.158879;gr_sensing_SM_con03,
297;0.001000;0.030000;501.601000;1.800000;1;0.158879;gr_sensing_SM_con03,
301;0.003000;0.030000;501.574000;1.800000;1;0.158879;gr_sensing_SM_con03,
304;0.004500;0.030000;501.548500;1.800000;1;0.158879;gr_sensing_SM_con03,
308;0.006500;0.030000;501.525000;1.800000;1;0.158879;gr_sensing_SM_con03,
311;0.008000;0.030000;501.503000;1.800000;1;0.158879;gr_sensing_SM_con03,
315;0.010000;0.030000;501.483000;1.800000;1;0.158879;gr_sensing_SM_con03,
319;0.012000;0.030000;501.465000;1.800000;1;0.158879;gr_sensing_SM_con03,
322;0.013500;0.030000;501.448500;1.800000;1;0.158879;gr_sensing_SM_con03,
326;0.015500;0.030000;501.434000;1.800000;1;0.158879;gr_sensing_SM_con03,
329;0.017000;0.030000;501.421000;1.800000;1;0.158879;gr_sensing_SM_con03,
333;0.019000;0.030000;501.410000;1.800000;1;0.158879;gr_sensing_SM_con03,
336;0.020500;0.030000;501.400500;1.800000;1;0.158879;gr_sensing_SM_con03,
340;0.022500;0.030000;501.393000;1.800000;1;0.158879;gr_sensing_SM_con03,
344;0.024500;0.030000;501.387500;1.800000;1;0.158879;gr_sensing_SM_con03,
347;0.026000;0.030000;501.383500;1.800000;1;0.158879;gr_sensing_SM_con03,
351;0.028000;0.030000;501.381500;1.800000;1;0.158879;gr_sensing_SM_con03,
354;0.029500;0.030000;501.381000;1.800000;1;0.158879;gr_sensing_SM_con03,
357;0.032227;0.030000;501.383227;1.800000;1;0.158879;gr_sensing_SM_con03,
361;0.033876;0.030000;501.387104;1.800000;1;0.158879;gr_sensing_SM_con03,
364;0.035835;0.030000;501.392939;1.800000;1;0.158879;gr_sensing_SM_con03,
368;0.039656;0.030000;501.402594;1.800000;1;0.158879;gr_sensing_SM_con03,
371;0.039071;0.030000;501.411666;1.800000;1;0.158879;gr_sensing_SM_con03,
375;0.040577;0.030000;501.422242;1.800000;1;0.158879;gr_sensing_SM_con03,
379;0.045090;0.030000;501.437332;1.800000;1;0.158879;gr_sensing_SM_con03,
382;0.044184;0.030000;501.451516;1.800000;1;0.158879;gr_sensing_SM_con03,
386;0.047301;0.030000;501.468817;1.800000;1;0.158879;gr_sensing_SM_con03,
389;0.047760;0.030000;501.486577;1.800000;1;0.158879;gr_sensing_SM_con03,
393;0.050489;0.030000;501.507067;1.800000;1;0.158879;gr_sensing_SM_con03,
396;0.053396;0.030000;501.530463;1.800000;1;0.158879;gr_sensing_SM_con03,
400;0.053878;0.030000;501.554340;1.800000;1;0.158879;gr_sensing_SM_con03,
403;0.055850;0.030000;501.580190;1.800000;1;0.158879;gr_sensing_SM_con03,
407;0.058789;0.030000;501.608980;1.800000;1;0.158879;gr_sensing_SM_con03,
410;0.060420;0.030000;501.639400;1.800000;1;0.158879;gr_sensing_SM_con03,
413;0.062676;0.030000;501.672075;1.800000;1;0.158879;gr_sensing_SM_con03,
417;0.063790;0.030000;501.705866;1.800000;1;0.158879;gr_sensing_SM_con03,
420;0.068381;0.030000;501.744247;1.800000;1;0.158879;gr_sensing_SM_con03,
424;0.069294;0.030000;501.783541;1.800000;1;0.158879;gr_sensing_SM_con03,
427;0.070283;0.030000;501.823824;1.800000;1;0.158879;gr_sensing_SM_con03,
431;0.069013;0.030000;501.862837;1.800000;1;0.158879;gr_sensing_SM_con03,
435;0.074498;0.030000;501.907335;1.800000;1;0.158879;gr_sensing_SM_con03,
438;0.077230;0.030000;501.954566;1.800000;1;0.158879;gr_sensing_SM_con03,
442;0.075584;0.030000;502.000150;1.800000;1;0.158879;gr_sensing_SM_con03,
446;0.079837;0.030000;502.049987;1.800000;1;0.158879;gr_sensing_SM_con03,
449;0.078546;0.030000;502.098532;1.800000;1;0.158879;gr_sensing_SM_con03,
453;0.081242;0.030000;502.149774;0.000000;0;0.000000;
456;0.085843;0.000000;502.235617;0.000000;0;0.000000;
460;0.088632;0.000000;502.324249;0.000000;0;0.000000;
464;0.091137;0.000000;502.415386;0.000000;0;0.000000;
467;0.089495;0.000000;502.504880;0.000000;0;0.000000;
471;0.091322;0.000000;502.596202;0.000000;0;0.000000;
474;0.095871;0.000000;502.692072;0.000000;0;0.000000;
477;0.091659;0.000000;502.783731;1.800000;1;0.331370;gr_sensing_SM_con03,
481;0.096917;0.030000;502.850649;1.800000;1;0.331370;gr_sensing_SM_con03,
485;0.091159;0.030000;502.911808;1.800000;1;0.331370;gr_sensing_SM_con03,
488;0.097180;0.030000;502.978988;1.800000;1;0.331370;gr_sensing_SM_con03,
492;0.090972;0.030000;503.039960;1.800000;1;0.331370;gr_sensing_SM_con03,
495;0.090584;0.030000;503.100544;1.800000;1;0.331370;gr_sensing_SM_con03,
499;0.090370;0.030000;503.160914;1.800000;1;0.331370;gr_sensing_SM_con03,
503;0.091432;0.030000;503.222346;1.800000;1;0.331370;gr_sensing_SM_con03,
506;0.097650;0.030000;503.289995;1.800000;1;0.331370;gr_sensing_SM_con03,
510;0.093395;0.030000;503.353390;1.800000;1;0.331370;gr_sensing_SM_con03,
513;0.090110;0.030000;503.413500;1.800000;1;0.331370;gr_sensing_SM_con03,
517;0.091572;0.030000;503.475072;1.800000;1;0.331370;gr_sensing_SM_con03,
521;0.090788;0.030000;503.535861;1.800000;1;0.331370;gr_sensing_SM_con03,
524;0.098844;0.030000;503.604705;1.800000;1;0.331370;gr_sensing_SM_con03,
528;0.093791;0.030000;503.668496;1.800000;1;0.331370;gr_sensing_SM_con03,
531;0.091521;0.030000;503.730017;1.800000;1;0.331370;gr_sensing_SM_con03,
534;0.096931;0.030000;503.796948;1.800000;1;0.331370;gr_sensing_SM_con03,
538;0.099863;0.030000;503.866812;1.800000;1;0.331370;gr_sensing_SM_con03,
541;0.096162;0.030000;503.932974;1.800000;1;0.331370;gr_sensing_SM_con03,
545;0.105213;0.030000;504.008187;1.800000;1;0.331370;gr_sensing_SM_con03,
549;0.099425;0.030000;504.077612;1.800000;1;0.331370;gr_sensing_SM_con03,
552;0.108775;0.030000;504.156387;1.800000;1;0.331370;gr_sensing_SM_con03,
556;0.104028;0.030000;504.230415;1.800000;1;0.331370;gr_sensing_SM_con03,
560;0.107641;0.030000;504.308055;1.800000;1;0.331370;gr_sensing_SM_con03,
563;0.107922;0.030000;504.385977;1.800000;1;0.331370;gr_sensing_SM_con03,
567;0.116164;0.030000;504.472141;1.800000;1;0.331370;gr_sensing_SM_con03,
570;0.116570;0.030000;504.558710;1.800000;1;0.331370;gr_sensing_SM_con03,
574;0.117437;0.030000;504.646148;1.800000;1;0.331370;gr_sensing_SM_con03,
578;0.115044;0.030000;504.731192;1.800000;1;0.331370;gr_sensing_SM_con03,
581;0.116602;0.030000;504.817794;1.800000;1;0.331370;gr_sensing_SM_con03,
585;0.119468;0.030000;504.907262;1.800000;1;0.331370;gr_sensing_SM_con03,
589;0.125249;0.030000;505.002511;1.800000;1;0.331370;gr_sensing_SM_con03,
591;0.125554;0.030000;505.098065;1.800000;1;0.331370;gr_sensing_SM_con03,
595;0.122246;0.030000;505.190311;1.800000;1;0.331370;gr_sensing_SM_con03,
598;0.120951;0.030000;505.281262;1.800000;1;0.331370;gr_sensing_SM_con03,
602;0.131691;0.030000;505.382953;1.800000;1;0.331370;gr_sensing_SM_con03,
606;0.128252;0.030000;505.481205;1.800000;1;0.331370;gr_sensing_SM_con03,
609;0.130314;0.030000;505.581519;1.800000;1;0.331370;gr_sensing_SM_con03,
613;0.120896;0.030000;505.672415;1.800000;1;0.331370;gr_sensing_SM_con03,
617;0.131996;0.030000;505.774411;1.800000;1;0.331370;gr_sensing_SM_con03,
620;0.125365;0.030000;505.869775;1.800000;1;0.331370;gr_sensing_SM_con03,
624;0.131295;0.030000;505.971070;1.800000;1;0.331370;gr_sensing_SM_con03,
