ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
212;0.000000;0.030000;505.650000;1.782000;1;0.779982;gr_sensing_SM_con03,
215;0.000000;0.030000;505.620000;1.782000;1;0.779982;gr_sensing_SM_con03,
219;0.000000;0.030000;505.590000;1.782000;1;0.779982;gr_sensing_SM_con03,
222;0.000000;0.030000;505.560000;1.782000;1;0.779982;gr_sensing_SM_con03,
225;0.000000;0.030000;505.530000;1.782000;1;0.779982;gr_sensing_SM_con03,
229;0.000000;0.000000;505.530000;0.000000;0;0.000000;
232;0.000000;0.000000;505.530000;0.000000;0;0.000000;
236;0.000000;0.000000;505.530000;0.000000;0;0.000000;
239;0.000000;0.000000;505.530000;0.000000;0;0.000000;
242;0.000000;0.000000;505.530000;0.000000;0;0.000000;
246;0.000000;0.000000;505.530000;0.000000;0;0.000000;
249;0.000000;0.000000;505.530000;0.000000;0;0.000000;
253;0.000000;0.000000;505.530000;0.000000;0;0.000000;
256;0.000000;0.000000;505.530000;0.000000;0;0.000000;
260;0.000000;0.000000;505.530000;0.000000;0;0.000000;
263;0.000000;0.000000;505.530000;0.000000;0;0.000000;
267;0.000000;0.000000;505.530000;0.000000;0;0.000000;
270;0.000000;0.000000;505.530000;0.000000;0;0.000000;
274;0.000000;0.000000;505.530000;0.000000;0;0.000000;
277;0.000000;0.000000;505.530000;0.000000;0;0.000000;
281;0.000000;0.000000;505.530000;0.000000;0;0.000000;
284;0.000000;0.000000;505.530000;0.000000;0;0.000000;
288;0.000000;0.000000;505.530000;0.000000;0;0.000000;
291;0.000000;0.000000;505.530000;0.000000;0;0.000000;
295;0.000000;0.000000;505.530000;1.485000;1;0.721465;gr_sensing_TC_con01,
297;0.001000;0.060000;505.471000;1.485000;1;0.721465;gr_sensing_TC_con01,
301;0.003000;0.060000;505.414000;1.485000;1;0.721465;gr_sensing_TC_con01,
304;0.004500;0.060000;505.358500;1.485000;1;0.721465;gr_sensing_TC_con01,
308;0.006500;0.060000;505.305000;1.485000;1;0.721465;gr_sensing_TC_con01,
311;0.008000;0.060000;505.253000;1.485000;1;0.721465;gr_sensing_TC_con01,
315;0.010000;0.060000;505.203000;1.485000;1;0.721465;gr_sensing_TC_con01,
318;0.011500;0.060000;505.154500;1.485000;1;0.721465;gr_sensing_TC_con01,
322;0.013500;0.060000;505.108000;1.485000;1;0.721465;gr_sensing_TC_con01,
325;0.015000;0.060000;505.063000;1.485000;1;0.721465;gr_sensing_TC_con01,
329;0.017000;0.060000;505.020000;1.485000;1;0.721465;gr_sensing_TC_con01,
332;0.018500;0.060000;504.978500;1.485000;1;0.721465;gr_sensing_TC_con01,
336;0.020500;0.060000;504.939000;1.485000;1;0.721465;gr_sensing_TC_con01,
339;0.022000;0.060000;504.901000;1.485000;1;0.721465;gr_sensing_TC_con01,
343;0.024000;0.060000;504.865000;1.485000;1;0.721465;gr_sensing_TC_con01,
346;0.025500;0.060000;504.830500;1.485000;1;0.721465;gr_sensing_TC_con01,
350;0.027500;0.060000;504.798000;1.485000;1;0.721465;gr_sensing_TC_con01,
354;0.029500;0.060000;504.767500;1.485000;1;0.721465;gr_sensing_TC_con01,
356;0.032638;0.060000;504.740138;1.485000;1;0.721465;gr_sensing_TC_con01,
360;0.033305;0.060000;504.713443;1.485000;1;0.721465;gr_sensing_TC_con01,
363;0.036290;0.060000;504.689733;3.285000;2;1.163920;gr_sensing_TC_con01,gr_sensing_SM_con03,
367;0.038754;0.090000;504.638487;3.285000;2;1.163920;gr_sensing_TC_con01,gr_sensing_SM_con03,
370;0.040066;0.030000;504.648553;1.800000;1;0.442456;gr_sensing_SM_con03,
373;0.042208;0.030000;504.660761;1.800000;1;0.442456;gr_sensing_SM_con03,
377;0.044022;0.030000;504.674783;1.800000;1;0.442456;gr_sensing_SM_con03,
380;0.043787;0.030000;504.688570;1.800000;1;0.442456;gr_sensing_SM_con03,
384;0.045679;0.030000;504.704249;1.800000;1;0.442456;gr_sensing_SM_con03,
388;0.049681;0.030000;504.723930;1.800000;1;0.442456;gr_sensing_SM_con03,
391;0.049785;0.030000;504.743715;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
395;0.051230;0.090000;504.704944;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
