;Ev_left;Ev_right;P_amb;RH_amb;T_amb;Ev;0
2019-06-18 19:20:00;9.631578947368421;4.973684210526316;95933.47634210526;0.5135986578947368;22.88928947368421;7.302631578947368;
2019-06-18 19:25:00;8.107023411371237;3.722408026755853;95940.3626923077;0.513714635451505;22.88661872909699;5.914715719063545;
2019-06-18 19:30:00;6.033444816053512;2.3812709030100336;95946.11096655519;0.5165163712374582;22.785284280936455;4.207357859531773;
2019-06-18 19:35:00;4.6521739130434785;1.4247491638795986;95951.06844481605;0.5175562474916388;22.737247491638797;3.0384615384615383;
2019-06-18 19:40:00;3.822742474916388;0.725752508361204;95954.40765217392;0.518297193979933;22.705183946488294;2.274247491638796;
2019-06-18 19:45:00;3.2441471571906355;0.5652173913043478;95963.1901103679;0.520153491638796;22.63438127090301;1.9046822742474916;
2019-06-18 19:50:00;2.8963210702341136;0.0;95968.67954849498;0.5195047290969899;22.659889632107024;1.4481605351170568;
2019-06-18 19:55:00;3.0;0.0;95965.78621404684;0.5199940635451504;22.633090301003342;1.5;
2019-06-18 20:00:00;3.0;0.0;95964.81262207357;0.5213965986622073;22.565989966555183;1.5;
2019-06-18 20:05:00;3.0;0.0;95969.2290200669;0.5222653177257525;22.534896321070235;1.5;
2019-06-18 20:10:00;3.0;0.0;95968.18026174497;0.5235563255033556;22.478741610738254;1.5;
2019-06-18 20:15:00;3.0;0.0;95965.20106020068;0.5239738695652174;22.452896321070234;1.5;
2019-06-18 20:20:00;3.0;0.0;95955.53802006689;0.5252107391304347;22.400220735785954;1.5;
2019-06-18 20:25:00;3.0;0.0;95949.74185284281;0.5260754113712375;22.3525618729097;1.5;
2019-06-18 20:30:00;3.0;0.0;95946.29145819398;0.5271941571906353;22.306966555183948;1.5;
2019-06-18 20:35:00;3.0;0.0;95946.25762541806;0.5263112140468227;22.335431438127088;1.5;
2019-06-18 20:40:00;3.0;0.0;95946.3563076923;0.5273110234113713;22.29816387959866;1.5;
2019-06-18 20:45:00;3.0;0.0;95946.59054849499;0.5267343311036788;22.30769899665552;1.5;
2019-06-18 20:50:00;3.0;0.0;95950.10871571906;0.5292430635451505;22.223732441471576;1.5;
2019-06-18 20:55:00;3.0;0.0;95959.97299331104;0.5299476588628763;22.20940133779264;1.5;
2019-06-18 21:00:00;3.0;0.0;95967.92894983279;0.5302237759197324;22.199869565217394;1.5;
2019-06-18 21:05:00;3.0;0.0;95965.79838127091;0.5303347023411371;22.19669565217391;1.5;
2019-06-18 21:10:00;3.0;0.0;95950.99131772575;0.5308835585284281;22.172133779264215;1.5;
2019-06-18 21:15:00;3.0;0.0;95946.90606354516;0.5308166989966555;22.161448160535116;1.5;
2019-06-18 21:20:00;3.0;0.0;95946.31380602007;0.5322583210702342;22.10276923076923;1.5;
2019-06-18 21:25:00;3.0;0.0;95946.35733110367;0.5319836120401338;22.10601672240803;1.5;
2019-06-18 21:30:00;3.0;0.0;95940.42858862877;0.5339867692307692;22.03232441471572;1.5;
2019-06-18 21:35:00;3.0;0.0;95933.04764882944;0.5341127090301002;22.033173913043477;1.5;
2019-06-18 21:40:00;3.0;0.0;95932.99554849499;0.531433668896321;22.12699331103679;1.5;
