ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
265;0.000000;0.030000;508.050000;1.782000;1;0.771081;gr_sensing_SM_con03,
269;0.000000;0.030000;508.020000;1.782000;1;0.771081;gr_sensing_SM_con03,
272;0.000000;0.030000;507.990000;1.782000;1;0.771081;gr_sensing_SM_con03,
276;0.000000;0.030000;507.960000;1.782000;1;0.771081;gr_sensing_SM_con03,
279;0.000000;0.030000;507.930000;1.782000;1;0.771081;gr_sensing_SM_con03,
283;0.000000;0.030000;507.900000;1.782000;1;0.771081;gr_sensing_SM_con03,
286;0.000000;0.030000;507.870000;1.782000;1;0.771081;gr_sensing_SM_con03,
290;0.000000;0.030000;507.840000;1.782000;1;0.771081;gr_sensing_SM_con03,
293;0.000000;0.030000;507.810000;1.782000;1;0.771081;gr_sensing_SM_con03,
296;0.001000;0.030000;507.781000;1.782000;1;0.771081;gr_sensing_SM_con03,
300;0.005000;0.030000;507.756000;1.782000;1;0.771081;gr_sensing_SM_con03,
303;0.008000;0.030000;507.734000;1.782000;1;0.771081;gr_sensing_SM_con03,
307;0.012000;0.030000;507.716000;1.782000;1;0.771081;gr_sensing_SM_con03,
310;0.015000;0.030000;507.701000;1.782000;1;0.771081;gr_sensing_SM_con03,
314;0.019000;0.030000;507.690000;1.782000;1;0.771081;gr_sensing_SM_con03,
318;0.023000;0.030000;507.683000;1.782000;1;0.771081;gr_sensing_SM_con03,
321;0.026000;0.030000;507.679000;1.782000;1;0.771081;gr_sensing_SM_con03,
325;0.030000;0.030000;507.679000;1.782000;1;0.771081;gr_sensing_SM_con03,
328;0.033000;0.030000;507.682000;1.782000;1;0.771081;gr_sensing_SM_con03,
332;0.037000;0.030000;507.689000;1.782000;1;0.771081;gr_sensing_SM_con03,
335;0.040000;0.030000;507.699000;1.782000;1;0.771081;gr_sensing_SM_con03,
339;0.044000;0.030000;507.713000;1.782000;1;0.771081;gr_sensing_SM_con03,
343;0.048000;0.030000;507.731000;1.782000;1;0.771081;gr_sensing_SM_con03,
346;0.051000;0.030000;507.752000;1.782000;1;0.771081;gr_sensing_SM_con03,
350;0.055000;0.030000;507.777000;1.782000;1;0.771081;gr_sensing_SM_con03,
353;0.058000;0.030000;507.805000;1.782000;1;0.771081;gr_sensing_SM_con03,
