ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;510.000000;0.000000;0;0.000000;
3;0.000000;0.000000;510.000000;0.000000;0;0.000000;
7;0.000000;0.000000;510.000000;0.000000;0;0.000000;
10;0.000000;0.000000;510.000000;0.000000;0;0.000000;
14;0.000000;0.000000;510.000000;0.000000;0;0.000000;
17;0.000000;0.000000;510.000000;0.000000;0;0.000000;
21;0.000000;0.000000;510.000000;0.000000;0;0.000000;
25;0.000000;0.000000;510.000000;0.000000;0;0.000000;
28;0.000000;0.000000;510.000000;0.000000;0;0.000000;
32;0.000000;0.000000;510.000000;0.000000;0;0.000000;
35;0.000000;0.000000;510.000000;0.000000;0;0.000000;
39;0.000000;0.000000;510.000000;0.000000;0;0.000000;
42;0.000000;0.000000;510.000000;0.000000;0;0.000000;
46;0.000000;0.000000;510.000000;0.000000;0;0.000000;
49;0.000000;0.000000;510.000000;0.000000;0;0.000000;
53;0.000000;0.000000;510.000000;0.000000;0;0.000000;
57;0.000000;0.000000;510.000000;0.000000;0;0.000000;
59;0.000000;0.000000;510.000000;0.000000;0;0.000000;
63;0.000000;0.000000;510.000000;0.000000;0;0.000000;
66;0.000000;0.000000;510.000000;0.000000;0;0.000000;
70;0.000000;0.000000;510.000000;0.000000;0;0.000000;
73;0.000000;0.000000;510.000000;0.000000;0;0.000000;
76;0.000000;0.000000;510.000000;0.000000;0;0.000000;
80;0.000000;0.000000;510.000000;1.455000;1;0.824500;gr_sensing_TC_con01,
83;0.000000;0.060000;509.940000;1.455000;1;0.824500;gr_sensing_TC_con01,
87;0.000000;0.060000;509.880000;1.455000;1;0.824500;gr_sensing_TC_con01,
90;0.000000;0.060000;509.820000;1.455000;1;0.824500;gr_sensing_TC_con01,
93;0.000000;0.060000;509.760000;1.455000;1;0.824500;gr_sensing_TC_con01,
97;0.000000;0.060000;509.700000;1.455000;1;0.824500;gr_sensing_TC_con01,
100;0.000000;0.060000;509.640000;1.455000;1;0.824500;gr_sensing_TC_con01,
