0;0:0;0;0;0;2
0;0:0;0;0;0;0
96;1:37;67;0;16;0
191;3:14;73;0;16;0
343;5:48;73;0;16;0
438;7:25;72;0;16;0
575;9:44;96;0;21;0
666;11:17;73;0;16;0
754;12:46;69;0;16;0
837;14:11;70;0;16;0
924;15:39;73;0;16;0
1038;17:35;73;0;16;0
1158;19:37;83;0;18;0
1308;22:10;72;0;16;0
1444;0:28;66;0;16;0
1582;2:48;79;0;17;0
2134;12:10;535;0;19;0
2231;13:48;73;0;16;0
2326;15:25;72;0;16;0
2422;17:3;77;0;17;0
2514;18:36;78;0;17;0
2614;20:18;73;0;16;0
2705;21:50;72;0;16;0
2863;0:31;78;0;17;0
3000;2:50;73;0;16;0
3169;5:42;73;0;16;0
3303;7:58;69;0;16;0
3382;9:19;67;0;16;0
3497;11:16;92;0;20;0
3606;13:7;72;0;16;0
3692;14:34;72;0;16;0
3792;16:16;74;0;16;0
3889;17:54;73;0;16;0
3981;19:28;79;0;17;0
4071;20:59;76;0;17;0
4181;22:51;73;0;16;0
4277;0:29;74;0;16;0
4415;2:49;74;0;16;0
4521;4:37;74;0;16;0
4640;6:38;78;0;17;0
4751;8:31;79;0;17;0
4837;9:58;72;0;16;0
4933;11:36;74;0;16;0
5020;13:5;73;0;16;0
5107;14:33;73;0;16;0
5199;16:7;73;0;16;0
5285;17:34;72;0;16;0
5369;19:0;66;0;16;0
5458;20:30;67;0;16;0
5574;22:28;73;0;16;0
5665;0:1;72;0;16;0
5784;2:2;72;0;16;0
5871;3:30;73;0;16;0
6018;6:0;73;0;16;0
6210;9:15;73;0;16;0
6316;11:3;83;0;18;0
6443;13:12;72;0;16;0
6535;14:45;73;0;16;0
6622;16:14;73;0;16;0
6736;18:10;73;0;16;0
6839;19:54;71;0;17;0
6929;21:26;73;0;16;0
7062;23:41;74;0;16;0
7153;1:14;73;0;16;0
7258;3:1;77;0;17;0
7350;4:34;74;0;16;0
7472;6:38;71;0;16;0
7627;9:16;73;0;16;0
7728;10:58;87;0;19;0
7826;12:38;72;0;16;0
7918;14:12;73;0;16;0
8005;15:40;73;0;16;0
8091;17:8;72;0;16;0
8215;19:14;71;0;17;0
8302;20:42;73;0;16;0
8447;23:10;72;0;16;0
8553;0:57;73;0;16;0
8685;3:12;73;0;16;0
8809;5:18;74;0;16;0
8940;7:31;57;0;16;0
9004;8:36;36;0;16;0
9093;10:7;62;0;17;0
9168;11:23;60;0;16;0
9238;12:34;48;0;16;0
9296;13:33;53;0;16;0
9377;14:55;67;0;18;0
9459;16:19;72;0;18;0
9555;17:56;67;0;16;0
9635;19:18;68;0;16;0
9726;20:50;70;0;16;0
9854;23:1;65;0;16;0
10089;2:59;67;0;16;0
10223;5:16;68;0;16;0
10335;7:10;69;0;16;0
10458;9:15;79;0;18;0
10542;10:40;71;0;16;0
10623;12:3;68;0;16;0
10725;13:46;81;0;19;0
10804;15:7;66;0;16;0
10892;16:36;68;0;16;0
10982;18:8;68;0;16;0
11069;19:36;70;0;16;0
11154;21:3;72;0;17;0
11271;23:2;68;0;16;0
11380;0:52;69;0;16;0
11459;2:13;67;0;16;0
11543;3:38;67;0;16;0
11636;5:13;68;0;16;0
11739;6:57;69;0;16;0
11830;8:30;69;0;16;0
11912;9:53;70;0;17;0
11991;11:14;67;0;16;0
12073;12:37;69;0;16;0
12170;14:16;80;0;19;0
12260;15:47;77;0;18;0
12362;17:31;68;0;16;0
12456;19:7;68;0;16;0
12539;20:31;70;0;16;0
12622;21:55;70;0;16;0
12707;23:22;69;0;16;0
12806;1:3;68;0;16;0
12917;2:55;68;0;16;0
13012;4:32;70;0;16;0
13094;5:55;69;0;16;0
13188;7:31;68;0;16;0
13294;9:19;77;0;18;0
13385;10:51;69;0;16;0
13492;12:40;73;0;17;0
13583;14:13;70;0;17;0
13669;15:40;73;0;17;0
13755;17:8;73;0;17;0
13848;18:42;70;0;16;0
13936;20:12;71;0;16;0
14061;22:19;69;0;16;0
14164;0:4;67;0;16;0
14262;1:43;67;0;16;0
14347;3:10;72;0;17;0
14521;6:7;67;0;16;0
14611;7:38;69;0;16;0
14701;9:10;69;0;16;0
14809;11:0;68;0;16;0
14910;12:42;88;0;20;0
15004;14:18;69;0;16;0
15095;15:50;74;0;17;0
15197;17:34;73;0;17;0
15283;19:2;73;0;17;0
15366;20:26;70;0;16;0
15494;22:36;69;0;16;0
15578;0:2;67;0;16;0
15709;2:15;70;0;16;0
