ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;510.000000;0.000000;0;0.000000
4;0.000000;0.000000;510.000000;0.000000;0;0.000000
8;0.000000;0.000000;510.000000;0.000000;0;0.000000
13;0.000000;0.000000;510.000000;0.000000;0;0.000000
17;0.000000;0.000000;510.000000;0.000000;0;0.000000
21;0.000000;0.000000;510.000000;0.000000;0;0.000000
25;0.000000;0.000000;510.000000;0.000000;0;0.000000
30;0.000000;0.000000;510.000000;0.000000;0;0.000000
34;0.000000;0.000000;510.000000;0.000000;0;0.000000
38;0.000000;0.000000;510.000000;0.000000;0;0.000000
42;0.000000;0.000000;510.000000;0.000000;0;0.000000
47;0.000000;0.000000;510.000000;0.000000;0;0.000000
51;0.000000;0.000000;510.000000;0.000000;0;0.000000
55;0.000000;0.000000;510.000000;0.000000;0;0.000000
59;0.000000;0.000000;510.000000;0.000000;0;0.000000
62;0.000000;0.000000;510.000000;0.000000;0;0.000000
67;0.000000;0.000000;510.000000;0.000000;0;0.000000
71;0.000000;0.000000;510.000000;5.100000;1;0.170000
75;0.000000;0.150000;509.850000;5.100000;1;0.170000
79;0.000000;0.150000;509.700000;5.100000;1;0.170000
84;0.000000;0.150000;509.550000;5.100000;1;0.170000
88;0.000000;0.150000;509.400000;5.100000;1;0.170000
92;0.000000;0.150000;509.250000;5.100000;1;0.170000
97;0.000000;0.150000;509.100000;3.300000;1;0.083243
101;0.000000;0.150000;508.950000;3.300000;1;0.083243
106;0.000000;0.150000;508.800000;3.300000;1;0.083243
110;0.000000;0.150000;508.650000;3.300000;1;0.083243
115;0.000000;0.150000;508.500000;3.300000;1;0.083243
118;0.000000;0.150000;508.350000;7.500000;1;0.117647
123;0.000000;0.150000;508.200000;7.500000;1;0.117647
128;0.000000;0.150000;508.050000;7.500000;1;0.117647
132;0.000000;0.150000;507.900000;7.500000;1;0.117647
137;0.000000;0.150000;507.750000;7.500000;1;0.117647
141;0.000000;0.150000;507.600000;7.500000;1;0.117647
146;0.000000;0.150000;507.450000;0.000000;1;-0.473684
151;0.000000;0.000000;507.450000;0.000000;1;-0.473684
155;0.000000;0.000000;507.450000;0.000000;1;-0.473684
160;0.000000;0.000000;507.450000;0.000000;1;-0.473684
165;0.000000;0.000000;507.450000;0.000000;1;-0.473684
169;0.000000;0.000000;507.450000;6.000000;1;0.794631
174;0.000000;0.150000;507.300000;6.000000;1;0.794631
178;0.000000;0.150000;507.150000;6.000000;1;0.794631
182;0.000000;0.150000;507.000000;6.000000;1;0.794631
187;0.000000;0.150000;506.850000;6.000000;1;0.794631
191;0.000000;0.150000;506.700000;6.000000;1;0.794631
196;0.000000;0.150000;506.550000;0.000000;1;-0.358209
200;0.000000;0.000000;506.550000;0.000000;1;-0.358209
205;0.000000;0.000000;506.550000;0.000000;1;-0.358209
209;0.000000;0.000000;506.550000;0.000000;1;-0.358209
213;0.000000;0.000000;506.550000;0.000000;1;-0.358209
218;0.000000;0.000000;506.550000;0.000000;1;-0.133435
222;0.000000;0.000000;506.550000;0.000000;1;-0.133435
