ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
0;0.000000;0.000000;510.000000;0.000000;0;0.000000
4;0.000000;0.000000;510.000000;0.000000;0;0.000000
8;0.000000;0.000000;510.000000;0.000000;0;0.000000
12;0.000000;0.000000;510.000000;0.000000;0;0.000000
17;0.000000;0.000000;510.000000;0.000000;0;0.000000
21;0.000000;0.000000;510.000000;0.000000;0;0.000000
25;0.000000;0.000000;510.000000;0.000000;0;0.000000
29;0.000000;0.000000;510.000000;0.000000;0;0.000000
33;0.000000;0.000000;510.000000;0.000000;0;0.000000
38;0.000000;0.000000;510.000000;0.000000;0;0.000000
42;0.000000;0.000000;510.000000;0.000000;0;0.000000
46;0.000000;0.000000;510.000000;0.000000;0;0.000000
51;0.000000;0.000000;510.000000;0.000000;0;0.000000
55;0.000000;0.000000;510.000000;0.000000;0;0.000000
59;0.000000;0.000000;510.000000;0.000000;0;0.000000
62;0.000000;0.000000;510.000000;0.000000;0;0.000000
66;0.000000;0.000000;510.000000;0.000000;0;0.000000
71;0.000000;0.000000;510.000000;0.000000;0;0.000000
75;0.000000;0.000000;510.000000;0.000000;0;0.000000
79;0.000000;0.000000;510.000000;0.000000;0;0.000000
83;0.000000;0.000000;510.000000;0.000000;0;0.000000
88;0.000000;0.000000;510.000000;0.000000;0;0.000000
92;0.000000;0.000000;510.000000;0.000000;0;0.000000
96;0.000000;0.000000;510.000000;0.000000;0;0.000000
101;0.000000;0.000000;510.000000;0.000000;0;0.000000
105;0.000000;0.000000;510.000000;0.000000;0;0.000000
110;0.000000;0.000000;510.000000;0.000000;0;0.000000
115;0.000000;0.000000;510.000000;0.000000;0;0.000000
118;0.000000;0.000000;510.000000;7.500000;1;0.250000
123;0.000000;0.150000;509.850000;7.500000;1;0.250000
127;0.000000;0.150000;509.700000;7.500000;1;0.250000
132;0.000000;0.150000;509.550000;7.500000;1;0.250000
136;0.000000;0.150000;509.400000;7.500000;1;0.250000
141;0.000000;0.150000;509.250000;7.500000;1;0.250000
146;0.000000;0.150000;509.100000;0.000000;1;-0.405405
150;0.000000;0.000000;509.100000;0.000000;1;-0.405405
155;0.000000;0.000000;509.100000;0.000000;1;-0.405405
160;0.000000;0.000000;509.100000;0.000000;1;-0.405405
165;0.000000;0.000000;509.100000;0.000000;1;-0.405405
169;0.000000;0.000000;509.100000;7.500000;1;0.175824
174;0.000000;0.150000;508.950000;7.500000;1;0.175824
177;0.000000;0.150000;508.800000;7.500000;1;0.175824
182;0.000000;0.150000;508.650000;7.500000;1;0.175824
187;0.000000;0.150000;508.500000;7.500000;1;0.175824
191;0.000000;0.150000;508.350000;7.500000;1;0.175824
196;0.000000;0.150000;508.200000;2.550000;1;0.034611
200;0.000000;0.150000;508.050000;2.550000;1;0.034611
204;0.000000;0.150000;507.900000;2.550000;1;0.034611
209;0.000000;0.150000;507.750000;2.550000;1;0.034611
213;0.000000;0.150000;507.600000;2.550000;1;0.034611
217;0.000000;0.150000;507.450000;6.900000;1;0.012105
222;0.000000;0.150000;507.300000;6.900000;1;0.012105
226;0.000000;0.150000;507.150000;6.900000;1;0.012105
